DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
Cundinamarca,PACHO,1423,2019,11,1919101,14,0,0,0,0,0,0,0
Antioquia,SAN FRANCISCO,1423,2019,11,1659301,0,0,0,0,0,0,0,0
Cundinamarca,MOSQUERA,1423,2019,11,2672101,94,0,0,0,0,0,0,0
Caldas,AGUADAS,1423,2019,11,3505101,4,1,0,0,0,0,0,0
Antioquia,SAN ROQUE,1423,2019,11,2020101,52,0,0,0,0,0,0,0
Antioquia,JERICÓ,1423,2019,11,1522101,9,0,0,0,0,0,0,0
Cesar,CURUMANÍ,1423,2019,11,1522501,3,0,0,0,0,0,0,0
Cesar,VALLEDUPAR,1423,2019,11,5269401,0,0,0,0,0,0,0,0
Cauca,GUACHENÉ,1423,2019,11,1751201,101,40,1,0,0,0,0,0
Boyacá,DUITAMA,1423,2019,11,3156101,0,0,0,0,0,0,0,0
Antioquia,ENTRERRIOS,1423,2019,11,1919101,26,0,0,0,0,0,0,0
Valle del Cauca,PALMIRA,1423,2019,11,1522301,12,0,0,0,0,0,0,0
Huila,NEIVA,1423,2019,11,4517003,56,0,1,0,0,0,0,0
Valle del Cauca,YUMBO,1423,2019,11,3604101,1,0,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,1804501,30,2,0,0,0,0,0,0
Antioquia,BELLO,1423,2019,11,3604101,0,0,0,0,0,0,0,0
Arauca,SARAVENA,1423,2019,11,1919901,8,175,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,5273201,35,0,0,0,0,0,0,0
Córdoba,MONTERÍA,1423,2019,11,3292702,1,0,0,0,0,0,0,0
Sucre,COROZAL,1423,2019,11,1806001,1,17,0,0,0,0,0,0
Santander,BARRANCABERMEJA,1423,2019,11,2514101,29,3,0,0,0,0,0,0
Antioquia,SAN RAFAEL,1423,2019,11,1522101,6,0,0,0,0,0,0,0
Cundinamarca,LENGUAZAQUE,1423,2019,11,1521901,3,0,0,0,0,0,0,0
Guainía,INÍRIDA,1423,2019,11,1522401,10,0,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,2209001,13,0,0,0,0,0,0,0
Cesar,CURUMANÍ,1423,2019,11,2642301,1,0,0,0,0,0,0,0
Antioquia,SANTA ROSA DE OSOS,1423,2019,11,5132001,11,0,2,0,0,0,0,0
Caldas,MANIZALES,1423,2019,11,2552401,86,0,0,0,0,0,0,0
Caldas,RIOSUCIO,1423,2019,11,3517002,26,0,0,0,0,0,0,0
Antioquia,RIONEGRO,1423,2019,11,1741301,2,0,0,0,0,0,0,0
Casanare,PAZ DE ARIPORO,1423,2019,11,1924101,1,3,0,0,0,0,0,0
Nariño,SAN ANDRES DE TUMACO,1423,2019,11,1516301,0,0,0,0,0,0,0,0
Quindio,ARMENIA,1423,2019,11,3281101,15,0,0,0,0,0,0,0
Cundinamarca,SILVANIA,1423,2019,11,1919101,5,0,0,0,0,0,0,0
